0,1,2,3,4,5,6,7,8,9
0.012903515,0.0017334601,0.08319191,0.7340579,0.0029122932,0.07784269,0.0053614154,0.021338712,0.040139,0.020518724
0.004642428,0.00038144187,0.0541982,0.8380707,0.0010896277,0.0452087,0.0014621305,0.015692249,0.02777535,0.011479319
0.0026998916,0.00016094622,0.043138158,0.85816276,0.0005877654,0.044355392,0.00040067892,0.012141793,0.0305476,0.0078054727
0.002106798,0.000121349505,0.04896393,0.8611499,0.00036199187,0.042118933,0.00025364084,0.011911247,0.025030881,0.00798182
0.0029416953,0.0001572001,0.051685356,0.85477436,0.00039787492,0.043803923,0.0001959729,0.013422563,0.02452045,0.008100717
0.0020394481,0.00010969728,0.04525402,0.877552,0.00034564539,0.034012023,0.00012670169,0.013209291,0.019601539,0.007749145
0.0012188733,4.31295e-05,0.038794048,0.8873981,0.00016770628,0.034820594,5.983463e-05,0.009415334,0.022671603,0.005411439
0.0012476098,5.9102575e-05,0.040303186,0.89125067,0.00022930662,0.031931624,9.6705924e-05,0.011652318,0.018059708,0.00516995
0.001769613,6.550108e-05,0.039494935,0.8880069,0.00027610958,0.03557713,8.9507266e-05,0.010620908,0.017972441,0.0061264224
0.0013786837,4.554023e-05,0.037085697,0.8984422,0.0002032408,0.03148755,5.5526896e-05,0.009491004,0.015595457,0.0062149754
0.0012505328,4.0714385e-05,0.03394349,0.8987094,0.00014477587,0.032191347,5.1604497e-05,0.00887177,0.01900624,0.0057906574
0.0017572274,4.4608136e-05,0.040798236,0.8918757,0.00019071886,0.029673915,5.3872143e-05,0.010719133,0.01765692,0.0072296304
0.0013865602,4.1940955e-05,0.04014846,0.88736904,0.00019444234,0.03403684,3.1855445e-05,0.010221116,0.020612158,0.00595782
0.0013982172,3.856548e-05,0.03581427,0.9031922,0.00019326915,0.028498342,4.2515967e-05,0.009445407,0.015238007,0.006139683
0.0014985855,3.9529914e-05,0.029825356,0.9065049,0.0001742589,0.03241544,4.064845e-05,0.009542724,0.01370153,0.0062566483
0.0010543383,4.084472e-05,0.036788832,0.9031738,0.00012189004,0.02950149,3.32903e-05,0.008445204,0.015158371,0.005682456
0.0016211483,9.347985e-05,0.036357984,0.89498043,0.0003057489,0.032829575,6.561196e-05,0.010934867,0.014569593,0.008241213
0.0016215785,3.9343795e-05,0.03016342,0.9020242,0.00020734881,0.031794503,3.286324e-05,0.010218146,0.017774371,0.006123298
0.0012639802,5.1713345e-05,0.038467005,0.8953425,0.0002066395,0.031321745,3.5820198e-05,0.010506421,0.016663533,0.0061396
0.0012478469,3.7886333e-05,0.038327787,0.90257883,0.00014713488,0.028525826,2.2558062e-05,0.009332344,0.014273813,0.005506024
0.0012378587,3.729567e-05,0.032052487,0.90445966,0.00015990128,0.029573526,2.1503021e-05,0.0099216,0.015494918,0.007040698
