,loss,accuracy
0,1.3434816598892212,0.538433313369751
1,0.5579714179039001,0.8263500332832336
2,0.4668593108654022,0.8540999889373779
3,0.42566215991973877,0.8663666844367981
4,0.4011240005493164,0.8754500150680542
5,0.38766908645629883,0.8801000118255615
6,0.3762143850326538,0.883316695690155
7,0.3655535578727722,0.8848167061805725
8,0.3604573905467987,0.886566698551178
9,0.3587462902069092,0.8873500227928162
10,0.35316553711891174,0.8884833455085754
11,0.35194504261016846,0.8892666697502136
12,0.34145215153694153,0.8915333151817322
13,0.3448142409324646,0.8926500082015991
14,0.34672191739082336,0.8914333581924438
15,0.33896034955978394,0.8938500285148621
16,0.338416188955307,0.8934000134468079
17,0.3380575478076935,0.8939333558082581
18,0.3327188193798065,0.8951500058174133
19,0.3341064453125,0.8964000344276428
20,0.3359948992729187,0.8951666951179504
